"commodity_name","state","district","market","min_price","max_price","modal_price","date"
Bhindi(Ladies Finger),Gujarat,Amreli,Damnagar,4100,4500,4350,27-07-2023
Brinjal,Gujarat,Amreli,Damnagar,2200,3000,2450,27-07-2023
Cabbage,Gujarat,Amreli,Damnagar,2350,3000,2700,27-07-2023
Cauliflower,Gujarat,Amreli,Damnagar,7000,7500,7250,27-07-2023
Coriander(Leaves),Gujarat,Amreli,Damnagar,8400,9000,8850,27-07-2023
Ginger(Green),Gujarat,Amreli,Damnagar,11000,14000,12500,27-07-2023
Green Chilli,Gujarat,Amreli,Damnagar,7200,8000,7550,27-07-2023
Guar,Gujarat,Amreli,Damnagar,6800,7500,7350,27-07-2023
Lemon,Gujarat,Amreli,Damnagar,1850,2550,2200,27-07-2023
Tomato,Gujarat,Amreli,Damnagar,9800,10000,9950,27-07-2023
Apple,Haryana,Gurgaon,Gurgaon,10000,20000,15000,27-07-2023
Apple,Himachal Pradesh,Kangra,Palampur,20000,21000,20500,27-07-2023
Apple,Himachal Pradesh,Kangra,Palampur,8000,13000,10500,27-07-2023
Banana,Himachal Pradesh,Kangra,Palampur,3500,4000,3750,27-07-2023
Beetroot,Himachal Pradesh,Kangra,Palampur,3500,4000,3750,27-07-2023
Bhindi(Ladies Finger),Himachal Pradesh,Kangra,Palampur,3800,4000,3900,27-07-2023
Bitter gourd,Himachal Pradesh,Kangra,Palampur,3500,4000,3750,27-07-2023
Bottle gourd,Himachal Pradesh,Kangra,Palampur,2800,3800,3300,27-07-2023
Brinjal,Himachal Pradesh,Kangra,Palampur,5000,5200,5100,27-07-2023
Cabbage,Himachal Pradesh,Kangra,Palampur,2200,2500,2350,27-07-2023
Capsicum,Himachal Pradesh,Kangra,Palampur,11000,12000,11500,27-07-2023
Carrot,Himachal Pradesh,Kangra,Palampur,3000,3500,3250,27-07-2023
Cauliflower,Himachal Pradesh,Kangra,Palampur,4500,7000,4750,27-07-2023
Colacasia,Himachal Pradesh,Kangra,Palampur,4000,4500,4250,27-07-2023
Coriander(Leaves),Himachal Pradesh,Kangra,Palampur,14000,15000,14500,27-07-2023
Cucumbar(Kheera),Himachal Pradesh,Kangra,Palampur,3000,4000,3500,27-07-2023
French Beans (Frasbean),Himachal Pradesh,Kangra,Palampur,6000,7000,6500,27-07-2023
Garlic,Himachal Pradesh,Kangra,Palampur,10000,13000,11500,27-07-2023
Ginger(Green),Himachal Pradesh,Kangra,Palampur,19000,20000,19500,27-07-2023
Green Chilli,Himachal Pradesh,Kangra,Palampur,5500,6000,5750,27-07-2023
Guava,Himachal Pradesh,Kangra,Palampur,8000,11500,9750,27-07-2023
Jack Fruit,Himachal Pradesh,Kangra,Palampur,3500,4000,3750,27-07-2023
Lemon,Himachal Pradesh,Kangra,Palampur,4500,4800,4650,27-07-2023
Mango,Himachal Pradesh,Kangra,Palampur,3000,4500,3750,27-07-2023
Mango,Himachal Pradesh,Kangra,Palampur,5000,6000,5500,27-07-2023
Mashrooms,Himachal Pradesh,Kangra,Palampur,3000,3500,3250,27-07-2023
Mousambi(Sweet Lime),Himachal Pradesh,Kangra,Palampur,4500,5000,4750,27-07-2023
Onion,Himachal Pradesh,Kangra,Palampur,2000,2200,2100,27-07-2023
Papaya,Himachal Pradesh,Kangra,Palampur,4200,4500,4350,27-07-2023
Pear(Marasebu),Himachal Pradesh,Kangra,Palampur,9000,10000,9500,27-07-2023
Peas Wet,Himachal Pradesh,Kangra,Palampur,7000,8000,7500,27-07-2023
Pineapple,Himachal Pradesh,Kangra,Palampur,4500,5000,4750,27-07-2023
Plum,Himachal Pradesh,Kangra,Palampur,5000,6000,5500,27-07-2023
Potato,Himachal Pradesh,Kangra,Palampur,1700,2100,1900,27-07-2023
Pumpkin,Himachal Pradesh,Kangra,Palampur,1500,2500,2000,27-07-2023
Raddish,Himachal Pradesh,Kangra,Palampur,2200,2500,2350,27-07-2023
Spinach,Himachal Pradesh,Kangra,Palampur,4500,5000,4750,27-07-2023
Sponge gourd,Himachal Pradesh,Kangra,Palampur,3000,3500,3250,27-07-2023
Tinda,Himachal Pradesh,Kangra,Palampur,4500,5000,4750,27-07-2023
Amaranthus,Kerala,Alappuzha,Harippad,4000,4500,4000,27-07-2023
Amphophalus,Kerala,Alappuzha,Harippad,5000,5500,5000,27-07-2023
Ashgourd,Kerala,Alappuzha,Harippad,3000,3500,3000,27-07-2023
Banana,Kerala,Alappuzha,Harippad,5000,5500,5000,27-07-2023
Banana - Green,Kerala,Alappuzha,Harippad,3000,3500,3000,27-07-2023
Beetroot,Kerala,Alappuzha,Harippad,4000,4500,4000,27-07-2023
Bhindi(Ladies Finger),Kerala,Alappuzha,Harippad,4000,4500,4000,27-07-2023
Bitter gourd,Kerala,Alappuzha,Harippad,5000,5500,5000,27-07-2023
Bottle gourd,Kerala,Alappuzha,Harippad,2000,2500,2000,27-07-2023
Brinjal,Kerala,Alappuzha,Harippad,3000,3500,3000,27-07-2023
Cabbage,Kerala,Alappuzha,Harippad,3000,3500,3000,27-07-2023
Capsicum,Kerala,Alappuzha,Harippad,9000,9500,9000,27-07-2023
Carrot,Kerala,Alappuzha,Harippad,6000,6500,6000,27-07-2023
Cauliflower,Kerala,Alappuzha,Harippad,4000,4500,4000,27-07-2023
Colacasia,Kerala,Alappuzha,Harippad,6000,6400,6000,27-07-2023
Cowpea(Veg),Kerala,Alappuzha,Harippad,4000,4500,4000,27-07-2023
Cucumbar(Kheera),Kerala,Alappuzha,Harippad,2000,2500,2000,27-07-2023
Drumstick,Kerala,Alappuzha,Harippad,5000,5500,5000,27-07-2023
